# Required | A unique ID for the item. Use the SKU if you can. Enter each ID only once or the item won't upload. For dynamic ads; this ID must exactly match the content ID for the same item in your Facebook pixel. Character limit: 100.,# Required | A specific; relevant title for the item. Include keywords such as brand; attributes or condition. Character limit: 150.,# Required | A short; relevant description of the item. Include specific or unique product features such as material or colour. Use plain text and don't enter text in all capital letters. Character limit: 5;000.,# Required | The current availability of the item in your shop. | Supported values: in stock; available for order; preorder; out of stock; discontinued,# Required | The condition of the item. | Supported values: new; refurbished; used,"# Required | The cost and currency of the item. The price is a number followed by the 3-digit currency code (ISO 4217 standards). Use a full stop (""."") as the decimal point.",# Required | The URL of the specific product page where people can buy the item. If you don't have a URL; provide a fallback; such as a link to your Facebook business Page.,# Required | The URL for the main image of your item. Use a square (1:1) format image with a resolution of 1024 x 1024 pixels or higher.,# Required | The brand name; unique manufacturer part number (MPN) or Global Trade Item Number (GTIN) of the item. You only need to enter one of these; not all of them. For GTIN; enter the item's UPC; EAN; JAN or ISBN. Character limit: 100.
id,title,description,availability,condition,price,link,image_link,brand
Getting Dressed a4,Getting Dressed A4 Print,"Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM) The size includes the 25MM (1 inch) white border.
 ",in stock,new,26.00 GBP,https://www.kateskelton.com/shop/getting-dressed,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.51.300.300a/p300x225/118079346_4449828591724530_4422359604904614460_n.jpg?_nc_cat=100&_nc_sid=c48759&_nc_ohc=NylxgpTYEjYAX-vXd61&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=266c2b0666410ffad42d6b4b70d09ea5&oe=5F9547C2,Kate Skelton
Evening Cactus,Evening Cactus - A4 Print,Fine Art Giclée Print. Printed on Soft White Cotton 280gsm (textured) paper with archival inks for long life. Soft White Cotton has a slightly creamier white base and less texture than Hahnemuehle German Etching. Size: A4 (210mm x 297mm). The sizes include the 25mm (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/evening-cactus,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.45.300.300a/p300x225/117971026_4346932795379457_757362475188174934_n.jpg?_nc_cat=108&_nc_sid=c48759&_nc_ohc=yGLYfwWoz3kAX_hxei3&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=dff43ad8d25cdea817085ad2dedb4380&oe=5F978363,Kate Skelton
Abstract Desert,Abstract Desert - A4 Painting,"Hand painted Gouache on 300gsm Water colour paper. This is a one off piece, hand painted original, not a print. Size: A4 (210mm x 297mm). The sizes include the 25mm (1 inch) white border.",in stock,new,16.00 GBP,https://www.kateskelton.com/shop/abstract-desert,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.52.300.300a/p300x225/118019046_3286118518122405_307081001349922034_n.png?_nc_cat=103&_nc_sid=c48759&_nc_ohc=e6-Y0EZwdlYAX8lAkVp&_nc_ht=scontent.fltn2-1.fna&oh=338960267d8a058a639fc880f99a316f&oe=5F962662,Kate Skelton
Begonia Mac A4,Begonia Maculata - A4 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM).The size includes the 25MM (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/begonia-maculata-print,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/117175968_3138622566223803_3486877018048171983_n.jpg?_nc_cat=104&_nc_sid=c48759&_nc_ohc=CcvJOZ84MPMAX_Jbabn&_nc_ht=scontent.fltn2-1.fna&oh=1029b933bbf15b9972fa58de1e63653d&oe=5F96905F,Kate Skelton
Not today a4,Not Today - A4 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM).The size includes the 25MM (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/not-today,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.51.300.300a/p300x225/120212459_3089391894505931_3530375251554800777_n.png?_nc_cat=101&_nc_sid=c48759&_nc_ohc=cgaEhFY0wkcAX-JMacB&_nc_ht=scontent.fltn2-1.fna&oh=3723ba458975faf51fa89f45fe3a1c29&oe=5F962211,Kate Skelton
Sunbathing A3,Sunbathing - A3 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A3 (420MM x 297MM) The size includes the 25MM (1 inch) white border.,in stock,new,32.00 GBP,https://www.kateskelton.com/shop/sunbathing,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.50.300.300a/p300x225/118128081_3373336626042779_3392184688788105139_n.jpg?_nc_cat=101&_nc_sid=c48759&_nc_ohc=IkgoNekOgcMAX8O1RbD&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=7550bb3d7a34f8e38f8d542cd1f23c46&oe=5F976B93,Kate Skelton
Nap time a3,Nap Time - A3 Print,Fine Art Giclee print.Printed on Soft White Cotton 280gsm (textured) paper with archival inks for long life. Soft White Cotton has a slightly creamier white base and less texture than Hahnemuehle German Etching. Size: A3 (420mm x 297mm). The sizes include the 25mm (1 inch) white border.,in stock,new,32.00 GBP,https://www.kateskelton.com/shop/nap-time,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c63.10.300.300a/p320x320/118307891_3190483414400940_6958920693184972199_n.jpg?_nc_cat=107&_nc_sid=c48759&_nc_ohc=UnwZq6CYHcEAX8F8ktU&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=86114e556e36227deff4a7eebb1342e8&oe=5F95DFC4,Kate Skelton
Daisy Dress A4,Daisy Dress - A4 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM).The size includes the 25MM (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/daisy-dress,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.55.300.300a/p300x225/117831086_3323704674384340_8265862785651416926_n.png?_nc_cat=101&_nc_sid=c48759&_nc_ohc=YTV689tyWF8AX9zTOq8&_nc_oc=AQmpKejEPWKO9yd7j2fbW1zJFXV3hodxywf2ToHvERKaaHuwSbtmfS_Hv1Gx41zFa7I&_nc_ht=scontent.fltn2-1.fna&oh=d5628a4460f7b873600a27b41c2fd173&oe=5F952CE2,Kate Skelton
Holiday 9x9 print,Holiday - 23x23cm Print,Fine Art Giclée Print. Printed on Hahnemuehle German Etching 310gsm (textured) paper with archival inks for long life. 9X9 inches (230x230 mm) Square Size. Please note: The frame is not included,in stock,new,28.00 GBP,https://www.kateskelton.com/shop/holiday,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c18.10.300.300a/p320x320/117909325_3387957607930276_5385670467987778165_n.jpg?_nc_cat=104&_nc_sid=c48759&_nc_ohc=Nlr-BaWR9iwAX84dIma&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=5d838c5c24cd4890fbf4f6947aa2cba2&oe=5F97A6C2,Kate Skelton
Shower Time A4,Shower Time - A4 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM).The size includes the 25MM (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/shower-time,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.20.300.300a/p300x225/118012156_2942640069181773_2072190101465067372_n.png?_nc_cat=101&_nc_sid=c48759&_nc_ohc=0KUpR6a2rsoAX_UUrFd&_nc_ht=scontent.fltn2-1.fna&oh=f5da8a0e86bb79ed15bd6a49331d7b7b&oe=5F957C4E,Kate Skelton
Daisy Dress A3,Daisy Dress - A3 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A3 (420MM x 297MM) The size includes the 25MM (1 inch) white border.,in stock,new,32.00 GBP,https://www.kateskelton.com/shop/daisy-dress,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.50.300.300a/p300x225/117974097_3405246399521388_4000407684007374669_n.jpg?_nc_cat=108&_nc_sid=c48759&_nc_ohc=n9iKJ-pyhcIAX-1lsGv&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=89d23c02e0d111e33a8f4b59e0115042&oe=5F94FFFC,Kate Skelton
Nails dry 12x12,Waiting For Nails To Dry - 30x30cm Print,Fine Art Giclée Print. Printed on High White Smooth 315gsm paper with archival inks for long life.12x12 inches (304x304 mm) (Square Size). Please note: The frame is not included. The sizes include the 25mm(1 inch) white border.,in stock,new,32.00 GBP,https://www.kateskelton.com/shop/waiting-for-nails,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/117951849_3402262826502074_1334514933386120429_n.jpg?_nc_cat=107&_nc_sid=c48759&_nc_ohc=NafU5_pq650AX-Jpwrr&_nc_ht=scontent.fltn2-1.fna&oh=3f9fc2686272995aaa516353983b5bdc&oe=5F945A39,Kate Skelton
Sunbathing A4,Sunbathing - A4 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM).The size includes the 25MM (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/sunbathing,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.47.300.300a/p300x225/118096893_3551708001555308_1519540817928385111_n.png?_nc_cat=111&_nc_sid=c48759&_nc_ohc=NhOQGoE8QksAX_Et2ZL&_nc_ht=scontent.fltn2-1.fna&oh=594111c756a3ad6e58a5f150797bdef1&oe=5F96806F,Kate Skelton
Blue flowers a4,Flowers So Blue - A4 Print,Fine Art Giclée Print. Printed on soft white cotton 280GSM (textured) paper with archival inks for long life. Soft white cotton has a slightly creamier white base and less texture than Hahnemühle German etching. Size: A4 (210MM x 297MM).The size includes the 25MM (1 inch) white border.,in stock,new,26.00 GBP,https://www.kateskelton.com/shop/flowers-so-blue-1,https://scontent.fltn2-1.fna.fbcdn.net/v/t45.5328-4/c0.50.300.300a/p300x225/117994962_3165257056842939_5164784612116007471_n.jpg?_nc_cat=106&_nc_sid=c48759&_nc_ohc=ELIHomqrh1cAX9zoy4q&_nc_ht=scontent.fltn2-1.fna&_nc_tp=27&oh=fb457b8d95df6108ce651a7c3c902e2c&oe=5F96CC76,Kate Skelton